Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Gesamt_Fehlwerte;Beschreibung;eor;                                                                                                              
1420;Frankfurt/Main;V_N;13.07.1982-21:00;13.07.1982-21:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;19.07.1982-01:00;19.07.1982-01:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;19.07.1982-04:00;19.07.1982-04:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;25.07.1982-08:00;25.07.1982-08:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;02.08.1982-07:00;02.08.1982-07:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;05.08.1982-02:00;05.08.1982-02:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;09.08.1982-14:00;09.08.1982-14:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;22.08.1982-03:00;22.08.1982-03:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;23.08.1982-13:00;23.08.1982-13:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;24.08.1982-02:00;24.08.1982-02:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;27.08.1982-09:00;27.08.1982-09:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;15.09.1982-23:00;15.09.1982-23:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;24.09.1982-23:00;24.09.1982-23:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;27.09.1982-08:00;27.09.1982-08:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;07.10.1982-20:00;07.10.1982-20:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;29.10.1982-08:00;29.10.1982-08:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;30.10.1982-10:00;30.10.1982-10:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;02.11.1982-05:00;02.11.1982-05:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;08.11.1982-03:00;08.11.1982-03:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;13.11.1982-23:00;13.11.1982-23:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;18.11.1982-04:00;18.11.1982-04:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;01.12.1982-22:00;01.12.1982-22:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;04.12.1982-04:00;04.12.1982-04:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;06.12.1982-11:00;06.12.1982-11:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;14.12.1982-20:00;14.12.1982-20:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;22.12.1982-13:00;22.12.1982-13:00;1;;eor;                                                                                                                                       
